col,name,mean,std
age,Noise %0,0.0,0.0
age,Noise %100,0.0,0.0
age,Noise %200,0.0,0.0
age,Noise %300,0.0,0.0
age,Noise %400,0.0,0.0
sex,Noise %0,0.0,0.0
sex,Noise %100,0.0,0.0
sex,Noise %200,0.0,0.0
sex,Noise %300,0.0,0.0
sex,Noise %400,0.0,0.0
bmi,Noise %0,-4.214194705001496,0.0
bmi,Noise %100,-0.8528745285505464,0.9389053147295323
bmi,Noise %200,-0.12230135112659828,0.47165323235487877
bmi,Noise %300,-0.024869214733995445,0.27673744788619903
bmi,Noise %400,-0.001168827428232222,0.2618130501403752
bp,Noise %0,-1.270733552964242,0.0
bp,Noise %100,-1.3643250912570515,0.1748314400864966
bp,Noise %200,-1.546796553691148,0.12107222712728223
bp,Noise %300,-1.5965573711122383,0.07039412363692149
bp,Noise %400,-1.599300252401664,0.05937237352425767
s1,Noise %0,0.0,0.0
s1,Noise %100,0.0007109772325632602,0.0070741341446927545
s1,Noise %200,0.000698845960713005,0.006953429513821464
s1,Noise %300,0.0,0.0
s1,Noise %400,0.0,0.0
s2,Noise %0,0.0,0.0
s2,Noise %100,-0.016900497013236666,0.017246458540597802
s2,Noise %200,-0.020938722441155737,0.019016293669820532
s2,Noise %300,-0.02164860463794767,0.005747912831648876
s2,Noise %400,-0.021465095240765925,0.004601409534726069
s3,Noise %0,0.11785770602576194,4.163336342344337e-17
s3,Noise %100,0.1322982318196106,0.0785266096323899
s3,Noise %200,0.14428520566089817,0.041746854939450274
s3,Noise %300,0.16120126604878945,0.041692065012727465
s3,Noise %400,0.16643835168617074,0.02304351197029329
s4,Noise %0,0.0,0.0
s4,Noise %100,0.0,0.0
s4,Noise %200,0.0,0.0
s4,Noise %300,0.0,0.0
s4,Noise %400,0.0,0.0
s5,Noise %0,2.2973120090307177,4.440892098500626e-16
s5,Noise %100,2.72830561320666,0.18371107537990464
s5,Noise %200,2.948604870401387,0.1672444551858349
s5,Noise %300,3.0302063945428275,0.14041080577238776
s5,Noise %400,3.057006306056147,0.0883221560491589
s6,Noise %0,0.0,0.0
s6,Noise %100,0.2076726071972936,0.07871450360598929
s6,Noise %200,0.2748093608846872,0.05849501429069806
s6,Noise %300,0.2891028579886925,0.037329936918876344
s6,Noise %400,0.2903909903510737,0.0342545298183447
