col,name,mean,std
Age,Noise %0,0.0,0.0
Age,Noise %100,0.005400481059672531,0.010800962119345059
Age,Noise %200,0.01620144317901759,0.01322842296176269
Age,Noise %300,0.01620144317901759,0.013228422961762689
Age,Noise %400,0.018901683708853857,0.012374056622562348
Sex,Noise %0,0.11564126365377003,0.0
Sex,Noise %100,0.13959889896377847,0.014539184562984425
Sex,Noise %200,0.1487381810696316,0.006574144367285573
Sex,Noise %300,0.14863844195147796,0.0070123153172024525
Sex,Noise %400,0.14863641178352047,0.007011845562753431
ChestPainType,Noise %0,-0.04343916601100876,6.938893903907228e-18
ChestPainType,Noise %100,0.041000951557569686,0.026832297763571274
ChestPainType,Noise %200,0.01744936188292045,0.023270363321768347
ChestPainType,Noise %300,0.015604960612463753,0.023814638072263746
ChestPainType,Noise %400,0.012887889502781177,0.023873739603408585
RestingBP,Noise %0,0.0,0.0
RestingBP,Noise %100,0.0,0.0
RestingBP,Noise %200,0.0,0.0
RestingBP,Noise %300,0.0,0.0
RestingBP,Noise %400,0.0,0.0
Cholesterol,Noise %0,-0.12445086961725016,0.0
Cholesterol,Noise %100,-0.17812362997799328,0.00359200948954567
Cholesterol,Noise %200,-0.17890145376211844,8.112603712634847e-06
Cholesterol,Noise %300,-0.17892602166847765,0.0001145862774721228
Cholesterol,Noise %400,-0.17892616410628992,0.0001145523379458673
FastingBS,Noise %0,0.0,0.0
FastingBS,Noise %100,0.0,0.0
FastingBS,Noise %200,0.0,0.0
FastingBS,Noise %300,0.0,0.0
FastingBS,Noise %400,0.0,0.0
RestingECG,Noise %0,0.0,0.0
RestingECG,Noise %100,0.0,0.0
RestingECG,Noise %200,0.0,0.0
RestingECG,Noise %300,0.0,0.0
RestingECG,Noise %400,0.0,0.0
MaxHR,Noise %0,0.15975397451288223,0.0
MaxHR,Noise %100,0.16460348178931583,0.014515551529647843
MaxHR,Noise %200,0.1729742443215253,0.01219424188930693
MaxHR,Noise %300,0.17436730123840155,0.014630947400128986
MaxHR,Noise %400,0.17448424806532384,0.014659846924140804
ExerciseAngina,Noise %0,0.0007123609792623872,1.0842021724855044e-19
ExerciseAngina,Noise %100,-0.02224008206136582,1.3714514420885532e-06
ExerciseAngina,Noise %200,-0.02223996602358514,8.713773307212366e-07
ExerciseAngina,Noise %300,-0.0222394960931794,1.2037405419078127e-06
ExerciseAngina,Noise %400,-0.02223941865208584,1.150539661449295e-06
Oldpeak,Noise %0,-0.058177264157594874,1.3877787807814457e-17
Oldpeak,Noise %100,-0.09374596220967182,0.008477912804882292
Oldpeak,Noise %200,-0.09655614122619594,2.4030070376934798e-05
Oldpeak,Noise %300,-0.09655466844559397,2.4757196574286065e-05
Oldpeak,Noise %400,-0.09655230541865446,2.326838681110715e-05
ST_Slope,Noise %0,-0.027884468719983964,3.469446951953614e-18
ST_Slope,Noise %100,-0.001493093503230367,8.888186023173954e-07
ST_Slope,Noise %200,-0.0014923576691255032,1.0185219912007753e-06
ST_Slope,Noise %300,-0.0014923803255046716,1.3486508076647462e-06
ST_Slope,Noise %400,-0.0014922766866374772,1.3098750359989224e-06
