col,name,mean,std
alcohol,Noise %0,0.0,0.0
alcohol,Noise %100,-0.13788109052872655,0.02456315069921584
alcohol,Noise %200,-0.1450840353439338,0.02444702110519397
alcohol,Noise %300,-0.1488309299389882,0.0174900704334367
alcohol,Noise %400,-0.14892747570677098,0.0176326796541384
malic_acid,Noise %0,-0.6701434772123134,0.0
malic_acid,Noise %100,-0.19987631448000348,0.4739383225793782
malic_acid,Noise %200,-0.23715581143788458,0.47688750790977547
malic_acid,Noise %300,-0.22657795011925735,0.4955201417231235
malic_acid,Noise %400,-0.26279635299327797,0.5030594567491855
ash,Noise %0,-1.4831712644952693,0.0
ash,Noise %100,-2.3936408459264933,0.12407944160435477
ash,Noise %200,-2.43653772156346,0.17192520996180632
ash,Noise %300,-2.4641567346207944,0.11062033849451483
ash,Noise %400,-2.4641279581215643,0.11062757209350041
alcalinity_of_ash,Noise %0,0.0,0.0
alcalinity_of_ash,Noise %100,0.0,0.0
alcalinity_of_ash,Noise %200,0.0,0.0
alcalinity_of_ash,Noise %300,0.0,0.0
alcalinity_of_ash,Noise %400,0.0,0.0
magnesium,Noise %0,0.0,0.0
magnesium,Noise %100,0.0,0.0
magnesium,Noise %200,0.0,0.0
magnesium,Noise %300,0.0,0.0
magnesium,Noise %400,0.0,0.0
total_phenols,Noise %0,0.0,0.0
total_phenols,Noise %100,0.0,0.0
total_phenols,Noise %200,0.0,0.0
total_phenols,Noise %300,0.0,0.0
total_phenols,Noise %400,0.0,0.0
flavanoids,Noise %0,0.24294509570601286,5.551115123125783e-17
flavanoids,Noise %100,0.2870988138309363,0.09992714970818121
flavanoids,Noise %200,0.32257501781948106,0.15325413931842666
flavanoids,Noise %300,0.30055390975351265,0.1249942366109645
flavanoids,Noise %400,0.33481329640405855,0.1556223483260022
nonflavanoid_phenols,Noise %0,0.0,0.0
nonflavanoid_phenols,Noise %100,0.0,0.0
nonflavanoid_phenols,Noise %200,0.0,0.0
nonflavanoid_phenols,Noise %300,0.0,0.0
nonflavanoid_phenols,Noise %400,0.0,0.0
proanthocyanins,Noise %0,0.0,0.0
proanthocyanins,Noise %100,0.0,0.0
proanthocyanins,Noise %200,0.0,0.0
proanthocyanins,Noise %300,0.0,0.0
proanthocyanins,Noise %400,0.0,0.0
color_intensity,Noise %0,1.4353202467855593,2.220446049250313e-16
color_intensity,Noise %100,1.4284299442614614,0.031839026416445364
color_intensity,Noise %200,1.4179739256441786,0.042276229077060475
color_intensity,Noise %300,1.4178343688700896,0.04254554281306634
color_intensity,Noise %400,1.4178475360025107,0.042526016083953566
hue,Noise %0,-1.8110151957041534,2.220446049250313e-16
hue,Noise %100,-1.8106581581547452,0.0003375497160131979
hue,Noise %200,-1.8105996563919593,0.00013270884750455584
hue,Noise %300,-1.810597218561507,9.525612646698929e-05
hue,Noise %400,-1.8105966960935054,0.00012190183135792369
od280/od315_of_diluted_wines,Noise %0,-0.26837015110121415,0.0
od280/od315_of_diluted_wines,Noise %100,-0.26560261059401735,0.011569847101551619
od280/od315_of_diluted_wines,Noise %200,-0.2619582391685545,0.015004267189276171
od280/od315_of_diluted_wines,Noise %300,-0.26196210858327434,0.014996078871541548
od280/od315_of_diluted_wines,Noise %400,-0.2619609188030109,0.0149984379045451
proline,Noise %0,-1.2311243312049016,4.440892098500626e-16
proline,Noise %100,-0.9931920709751179,0.2668618680010204
proline,Noise %200,-0.9396352520094705,0.31929984449759174
proline,Noise %300,-0.9127678062941278,0.31418750852301336
proline,Noise %400,-0.9115560391860186,0.31133541613294585
