col,name,mean,std
winery,Noise %0,0.0,0.0
winery,Noise %100,0.0,0.0
winery,Noise %200,0.0,0.0
winery,Noise %300,0.0,0.0
winery,Noise %400,0.0,0.0
wine,Noise %0,-0.6481990504812389,0.0
wine,Noise %100,-0.5910455756490751,0.021675266935928462
wine,Noise %200,-0.5860729283781005,0.02983588362568419
wine,Noise %300,-0.5910455756490456,0.02167526693593071
wine,Noise %400,-0.5960182229200026,2.011251056072717e-14
year,Noise %0,0.04989681628997468,6.938893903907228e-18
year,Noise %100,-0.001790445740273203,0.0078043720457437625
year,Noise %200,-0.003628264689021308,0.010885824915512926
year,Noise %300,-0.0018378189487481306,0.008010867074117255
year,Noise %400,0.0,0.0
rating,Noise %0,0.21676360496317132,0.0
rating,Noise %100,0.21676360496318342,2.5438193255544362e-14
rating,Noise %200,0.21676360496316932,2.030980558451198e-14
rating,Noise %300,0.21676360496316152,1.6894705109540988e-14
rating,Noise %400,0.21676360496317587,2.39842046221305e-14
num_reviews,Noise %0,0.006108932378723385,0.0
num_reviews,Noise %100,0.07015977324777908,6.61742925064697e-15
num_reviews,Noise %200,0.0701597732477778,1.0431281463074288e-14
num_reviews,Noise %300,0.07015977324778036,9.8322094387787e-15
num_reviews,Noise %400,0.07015977324777779,1.209174008989254e-14
region,Noise %0,0.0,0.0
region,Noise %100,0.0,0.0
region,Noise %200,0.0,0.0
region,Noise %300,0.0,0.0
region,Noise %400,0.0,0.0
type,Noise %0,0.0,0.0
type,Noise %100,0.0,0.0
type,Noise %200,0.0,0.0
type,Noise %300,0.0,0.0
type,Noise %400,0.0,0.0
body,Noise %0,0.0,0.0
body,Noise %100,0.0,0.0
body,Noise %200,0.0,0.0
body,Noise %300,0.0,0.0
body,Noise %400,0.0,0.0
acidity,Noise %0,0.0,0.0
acidity,Noise %100,0.0,0.0
acidity,Noise %200,0.0,0.0
acidity,Noise %300,0.0,0.0
acidity,Noise %400,0.0,0.0
